Average_Mark,student_answer_en,reference_answer_en
3,It's unethical behavior done through electronic means aimed at material returns and causing damage to the victim.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
5,- A function with access to a linked list's head pointer has access to the entire list.        - Pass the head ponter to a function as a reference argument.,By reference.
2.625,It's illegal behavior carried with electronic devices to cause material or moral damage to the victim.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4,"It is an illegal conduct using electronic means that results in the offender obtaining material or moral goals, the aim of which is often to pirate any theft or destruction of information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.5,"It's all unethical behavior using electronic means (telephone, computer...) that the perpetrator gets what he wants to achieve his personal goals while the victim, the user, carries the penalty, for example, stealing information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.75,"It's illegal behaviour through electronic devices, often for physical or moral purposes, to destroy or steal information, for example: fraud and fraud, cyber-infringement, espionage and violation of privacy.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.5,"It is illegal conduct using electronic devices, from which the offender is charged with material and moral benefits, for which the victim bears a loss for the purpose of destroying or stealing information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
5,- He can't spread any holes... and the black hat pirate will break through before the gap is fixed... the unauthorized breach itself is a crime.,"Breaking into a security system without permission, revealing security flaws in programs or on websites in general rather than exposing the imbalance in particular to the institution and giving it time to repair it, which gives it an opportunity to be exploited by black hats pirates."
5," not creating a base case, or in the case where the base case will never be met.","If the recursion step is defined incorrectly, or if the base case is not included."
5,- randomly define some values for the synapitc connections in the network - send the first input to the network - in the output layer(map layer) select the neuron that has lowest error(competition phase) - based on a predefined method define the neighborhood of the selected neuron(cooparation phase) - change the weights of the selected neuron and the neurons located in its neighborhood(adaptation phase) - if the stop condition satisfied stop the process,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
3.625,"It's all illegal behavior using electronic devices, where the offender gets material and moral benefits while the victim is charged with loss.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.25,"It's an illegal behavior using electronic devices (telephone, computer) that hacks the system and carries the victim a material and moral loss, and is often intended to pirate for the theft or destruction of information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.625,"It is all illegal conduct or activity, using electronic devices such as telephones or computers, by which the offender wants material or moral benefits while the victim is charged with damages.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.5,"Illegal conduct by a person using electronic devices in order to obtain material or moral benefit by means of unlawful abuse resulting either in theft of material objects, moral damage, extensions or espionage.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
5," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",A location in memory that can store a value.
3.5,It is illegal behaviour based on the use of electronic devices that is beneficial to the perpetrator and is offset by material or moral loss to the victim.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.5,It's all illegal behavior through electronic devices used by a criminal to take material and moral benefits and do a victim to the user.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3,It is an offence to illegally use electronic devices to obtain material or moral things from a person and to face material or moral losses.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.5,"It's all illegal behavior using electronic devices and the Internet, the hacker gets material or moral benefits, while the victim bears the losses.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3,"It's illegal behavior that uses electronics and modern devices that benefit those who do it and cause harm to other parties, most of which are hacking and hacking that destroys data.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.625,"It's all illegal behavior using electronic devices, whether it's a phone or a computer, and it's over the Internet, with material benefits for the hacker, with the victim often charged with losses.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
2.5,It's illegal behavior in which electronic devices are used and material or non-material benefits are obtained.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
0.75,It's every legal act done through electronic devices.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
2.25,It's all illegal behavior that takes place using modern technology and costs the victim a great deal of damage.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.75,"It is an illegal act involving electronic devices in which the offender benefits from material or moral profits in exchange for the loss of the victim, the purpose of which is often to obtain or destroy the data.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.25,"It's illegal behavior that consumes electronic devices, producing material and moral benefits for the offender and losses for the victim.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.25,"It's an illegal operation perpetrated by an individual or group of individuals using tools and ideas in informatics, stealing or hacking systems.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.25,"It's an illegal activity carried out through electronic devices with the benefit of theft or sabotage of information, which results in a loss to the victim, whether material or moral.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
2.5,It's illegal behavior to hack computer users to capture their personal information and use it for other purposes.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.5,"Crimes committed by the Internet or by individuals or organizations for the purpose of stealing data, destroying a system, confronting individuals or entities...","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.5,"It's an illegal behavior in hacking systems using electronic means (the Internet, mobile, computer) that targets the offender for material and moral exploitation and carries the victim a corresponding loss, and the offender looks forward to or steals classified information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.75,"It is any unlawful conduct carried out using electronic means (organs), where the offender receives material and moral benefits and may harm the victim in order to steal, destroy or access information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
2.75,It's an illegal practice through smart devices where the unsub harasses and embarrasses the user for personal ends.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
1.25,It's all law-abiding behavior that happens on the Internet.,"It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
3.875,"Illegal methods and actions targeting computers, mobile software and the Internet aimed at taking, changing or destroying information, as well as spying on individuals and distorting their reputation for financial gain.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
4.75,"It's all illegal behavior using electronic devices (intelligent phone, Internet) that results in deliberate harm and injury to a person and in which the offender receives a material or moral return, often the purpose of these crimes is to destroy or steal information.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
5," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",A location in memory that can store a value.
3,"It is a criminal conduct punishable by law, using electronic devices, a computer phone, etc., with a view to hacking into the purpose of defaming the victim.","It is all illegal behaviour using electronic devices (telephone, computer, Internet) that results in the offender receiving material or moral benefits while attributing a loss to the victim. The aim of these crimes is often to pirate for the theft or destruction of information and the Internet is usually a tool or a theatre for it."
